"id","NAME","POS","TEAM","ADP","OVERALL","POSITION"
"e91cddd5-487d-4d8b-8131-c85691917e82","Rome Odunze","WR","CHI","57.9","58","WR29"
"13a35139-f4c3-4f11-a2ee-13e427f57852","Parker Washington","WR","JAX","56.6","59","WR30"
"e1bb7729-b87e-4abc-9743-f469d20839bd","Drake Maye","QB","NE","67.0","60","QB3"
"c7bcbb9b-7598-4810-982a-bfd189daf987","Jadarian Price","RB","SEA","59.5","61","RB25"
"986f5827-6ed9-4992-9c64-df54cc33c2b2","Jayden Daniels","QB","WAS","69.8","62","QB4"
"54ddd66e-ce84-4ff8-979d-6cc9e1ff78ff","TreVeyon Henderson","RB","NE","60.5","63","RB26"
"89d88336-52d9-468c-bbe3-c1167c2e7819","Carnell Tate","WR","TEN","63.1","64","WR31"
"ac9035c0-d09b-4223-8db3-76c7994fd11a","Brian Thomas Jr.","WR","JAX","64.8","65","WR32"
"96b8e2a1-4f67-4f4f-807f-861566d4461c","Jalen Hurts","QB","PHI","72.4","66","QB5"
"017da9b8-968f-4baa-858f-d8bbf32373ee","Rhamondre Stevenson","RB","NE","67.7","67","RB27"
"f5231907-10c2-4638-83c2-43ec8f3394c3","Joe Burrow","QB","CIN","68.3","68","QB6"
"7c4c6c1d-bce9-45e7-9578-1eb5b4ace271","Tyler Warren","TE","IND","63.3","69","TE4"
"d407419c-8b2a-4590-b343-2f813554d6e0","Marvin Harrison Jr.","WR","ARZ","66.2","70","WR33"
"41bac526-b103-4a40-9142-dcef21e5da72","Jaylen Warren","RB","PIT","70.1","71","RB28"
"dd7ba07b-e45a-4e8a-af56-8123a2ec1e8e","Quentin Johnston","WR","LAC","75.4","72","WR34"
"e46168ce-4da2-4a27-8ccd-8a986b4f5e3a","DK Metcalf","WR","PIT","74.2","73","WR35"
"b63d54a7-769e-4dd3-8ba8-bc1e865afc2f","Tony Pollard","RB","TEN","77.7","74","RB29"
"9b7b55a2-3b03-4e52-8928-eb34d7c82baa","Dak Prescott","QB","DAL","80.2","75","QB7"
"b44b6d29-a02e-48ae-9b60-1f2202464ba9","Jonathon Brooks","RB","CAR","76.1","76","RB30"
"ef35a5ca-57be-43d7-a55b-d4d568091425","Jayden Reed","WR","GB","78.1","77","WR36"
"c8b20835-6103-48bb-bf86-dfbb883649d5","Courtland Sutton","WR","DEN","82.7","78","WR37"
"8b23a214-cb44-4db0-a1f2-10a1d6c9e8bf","Caleb Williams","QB","CHI","73.3","79","QB8"
"be421b67-977b-4ab9-a9c8-282f1548706d","Justin Herbert","QB","LAC","84.1","80","QB9"
"2b64247d-26af-48b7-bcb9-20ae6c38caee","Trevor Lawrence","QB","JAX","86.6","81","QB10"
"8b881421-a482-4cae-83bd-a19a96ec5eda","Rico Dowdle","RB","PIT","83.7","82","RB31"
"cf099f63-ced6-4321-9a10-2b3ef7692315","Jordan Addison","WR","MIN","88.6","83","WR38"
"4efc8624-dc36-4242-b1cb-0cc6d3862174","Stefon Diggs","WR","WAS","93.2","84","WR39"
"11818a85-2fd9-4efd-aba2-bb18fc46a486","Makai Lemon","WR","PHI","80.7","85","WR40"
"e97d1607-52ac-43a6-80f0-a630cab1e74b","Josh Downs","WR","IND","83.1","86","WR41"
"fbe947d5-246f-4e65-9c82-fe7480240b81","Blake Corum","RB","LA","87.1","87","RB32"
"de7ad4ba-381a-4899-b682-01c237566a46","Tucker Kraft","TE","GB","77.2","88","TE5"
"8a17ba41-08bf-455e-852c-e5f9776021af","Patrick Mahomes","QB","KC","97.5","89","QB11"
"01220bfd-6610-4092-8c91-df5780313d9d","Sam LaPorta","TE","DET","91.1","90","TE6"
"877b2b95-1014-448a-9255-a4ec6dad9330","Chris Godwin Jr.","WR","TB","84.2","91","WR42"
"9e061e7d-b8a9-4457-903c-59e107eaea12","Michael Wilson","WR","ARZ","90.3","92","WR43"
"9ecd93f6-17dd-447b-96b7-8d54ca4ca886","Michael Pittman","WR","PIT","101.3","93","WR44"
"942801d0-c4ad-4d2b-b971-34cc675ed8f8","Chuba Hubbard","RB","CAR","98.1","94","RB33"
